"speaker_id";"gender";"dialect_variant";"codigo_frase";"audio_file";"_uuid";"meta/rootUuid"
"M1";"Masculino";"Mam Occidental";"M_001";"1778631069345.m4a";"727ef106-225f-4d2d-b6d0-f288cd0f7d58";"uuid:727ef106-225f-4d2d-b6d0-f288cd0f7d58"
"M1";"Masculino";"Mam Occidental";"M_002";"1778631101676.m4a";"ed9b7724-a47f-4f4c-a080-3bcbbe76b1df";"uuid:ed9b7724-a47f-4f4c-a080-3bcbbe76b1df"
"M1";"Masculino";"Mam Occidental";"M_003";"1778631127113.m4a";"f4b56488-2059-447f-940c-37562fd5a881";"uuid:f4b56488-2059-447f-940c-37562fd5a881"
"M1";"Masculino";"Mam Occidental";"M_004";"1778631154190.m4a";"6874d02c-2dd3-4b5c-94fb-667cb76a2424";"uuid:6874d02c-2dd3-4b5c-94fb-667cb76a2424"
"M1";"Masculino";"Mam Occidental";"M_005";"1778631195651.m4a";"5962d41b-c698-45d6-b113-8db745bde535";"uuid:5962d41b-c698-45d6-b113-8db745bde535"
"M1";"Masculino";"Mam Occidental";"M_006";"1778631224290.m4a";"0e62b5d2-9c23-4414-9597-377522ef82ed";"uuid:0e62b5d2-9c23-4414-9597-377522ef82ed"
"M1";"Masculino";"Mam Occidental";"M_007";"1778631260669.m4a";"66c72867-c80e-4431-8ff5-a925019ae5fc";"uuid:66c72867-c80e-4431-8ff5-a925019ae5fc"
"M1";"Masculino";"Mam Occidental";"M_008";"1778631289835.m4a";"1d633508-0e41-4c9b-b118-2106e56c9d65";"uuid:1d633508-0e41-4c9b-b118-2106e56c9d65"
"M1";"Masculino";"Mam Occidental";"M_009";"1778631317139.m4a";"545f3a4c-019b-48aa-8ee8-bc54145eea8a";"uuid:545f3a4c-019b-48aa-8ee8-bc54145eea8a"
"M1";"Masculino";"Mam Occidental";"M_010";"1778631342942.m4a";"035a7d2c-d1c7-4680-9ac0-bd5ff059db7b";"uuid:035a7d2c-d1c7-4680-9ac0-bd5ff059db7b"
"M1";"Masculino";"Mam Occidental";"M_011";"1778631373700.m4a";"f36c7439-adc3-4e69-9a72-c6c96244c2b1";"uuid:f36c7439-adc3-4e69-9a72-c6c96244c2b1"
"M1";"Masculino";"Mam Occidental";"M_012";"1778631449777.m4a";"8b49fac5-545a-4531-834a-d520c4452fbe";"uuid:8b49fac5-545a-4531-834a-d520c4452fbe"
"M1";"Masculino";"Mam Occidental";"M_013";"1778631478895.m4a";"c3b63e3f-aafd-4d5c-8454-94e3123fabfa";"uuid:c3b63e3f-aafd-4d5c-8454-94e3123fabfa"
"M1";"Masculino";"Mam Occidental";"M_014";"1778631501614.m4a";"cb4bf02b-8978-4f40-b947-c6503f083d38";"uuid:cb4bf02b-8978-4f40-b947-c6503f083d38"
"M1";"Masculino";"Mam Occidental";"M_015";"1778631531114.m4a";"dad71dcf-518c-45ea-869e-1d5358e45b6c";"uuid:dad71dcf-518c-45ea-869e-1d5358e45b6c"
"M1";"Masculino";"Mam Occidental";"M_016";"1778631561949.m4a";"1b6955ec-1b5a-4b85-b9bd-c8a315642231";"uuid:1b6955ec-1b5a-4b85-b9bd-c8a315642231"
"M1";"Masculino";"Mam Occidental";"M_017";"1778631586368.m4a";"87c58edd-c1de-42c0-bab2-9346f032c660";"uuid:87c58edd-c1de-42c0-bab2-9346f032c660"
"M1";"Masculino";"Mam Occidental";"M_018";"1778631612717.m4a";"d3d66368-20e2-4b1b-a552-11c9a73538e2";"uuid:d3d66368-20e2-4b1b-a552-11c9a73538e2"
"M1";"Masculino";"Mam Occidental";"M_019";"1778631642047.m4a";"e7a93087-324c-4d91-9671-cdb753588796";"uuid:e7a93087-324c-4d91-9671-cdb753588796"
"M1";"Masculino";"Mam Occidental";"M_020";"1778631666593.m4a";"d67dcfc1-52b2-49a7-951c-4c44b99ef75c";"uuid:d67dcfc1-52b2-49a7-951c-4c44b99ef75c"
"M1";"Masculino";"Mam Occidental";"M_021";"1778631692375.m4a";"0381a76c-089c-47cd-a711-6530f17c78ed";"uuid:0381a76c-089c-47cd-a711-6530f17c78ed"
"M1";"Masculino";"Mam Occidental";"M_022";"1778631724154.m4a";"68255718-278b-4daa-b8ae-584e91ead656";"uuid:68255718-278b-4daa-b8ae-584e91ead656"
"M1";"Masculino";"Mam Occidental";"M_023";"1778631749371.m4a";"d4ad9ff8-4fac-426a-852e-9863eb746d9f";"uuid:d4ad9ff8-4fac-426a-852e-9863eb746d9f"
"M1";"Masculino";"Mam Occidental";"M_024";"1778631771948.m4a";"8724fcf5-754d-4b44-ab6d-998fce572b3e";"uuid:8724fcf5-754d-4b44-ab6d-998fce572b3e"
"M1";"Masculino";"Mam Occidental";"M_025";"1778631796457.m4a";"c98e2efa-4e2c-4b91-a6f8-371999d31f3c";"uuid:c98e2efa-4e2c-4b91-a6f8-371999d31f3c"
"M1";"Masculino";"Mam Occidental";"M_026";"1778631824851.m4a";"dcca4f07-1709-485b-9c65-deb53c74f83a";"uuid:dcca4f07-1709-485b-9c65-deb53c74f83a"
"M1";"Masculino";"Mam Occidental";"M_027";"1778631851019.m4a";"97969e04-9a5b-4a28-9dc4-160389186635";"uuid:97969e04-9a5b-4a28-9dc4-160389186635"
"M1";"Masculino";"Mam Occidental";"M_028";"1778631875963.m4a";"76e5bdc9-aab6-4f33-9706-24acc2ea9328";"uuid:76e5bdc9-aab6-4f33-9706-24acc2ea9328"
"M1";"Masculino";"Mam Occidental";"M_029";"1778631901265.m4a";"c2bd62c2-8f6c-498b-b3eb-35bc381921d2";"uuid:c2bd62c2-8f6c-498b-b3eb-35bc381921d2"
"M1";"Masculino";"Mam Occidental";"M_030";"1778631931805.m4a";"0d274cb9-354a-4c1e-a6ac-bf0c7681b714";"uuid:0d274cb9-354a-4c1e-a6ac-bf0c7681b714"
"M1";"Masculino";"Mam Occidental";"M_031";"1778631954153.m4a";"73ab21bd-5492-47dc-80f8-3928f2c42b71";"uuid:73ab21bd-5492-47dc-80f8-3928f2c42b71"
"M1";"Masculino";"Mam Occidental";"M_032";"1778631976529.m4a";"4ce7e344-dd3d-452d-914d-6bf28521afab";"uuid:4ce7e344-dd3d-452d-914d-6bf28521afab"
"M1";"Masculino";"Mam Occidental";"M_033";"1778632001406.m4a";"3244ba59-f5c8-44e6-a797-2f106321070e";"uuid:3244ba59-f5c8-44e6-a797-2f106321070e"
"M1";"Masculino";"Mam Occidental";"M_034";"1778632026217.m4a";"88a61544-1828-45c5-b901-95c607d716d9";"uuid:88a61544-1828-45c5-b901-95c607d716d9"
"M1";"Masculino";"Mam Occidental";"M_035";"1778632052685.m4a";"0333622b-a1a2-4214-b299-44c7d9f9485f";"uuid:0333622b-a1a2-4214-b299-44c7d9f9485f"
"M1";"Masculino";"Mam Occidental";"M_036";"1778632078959.m4a";"a19ae9a0-1deb-429c-9747-0bdd97b8a32f";"uuid:a19ae9a0-1deb-429c-9747-0bdd97b8a32f"
"M1";"Masculino";"Mam Occidental";"M_037";"1778632122508.m4a";"84b087f4-bc42-4cc6-a5ea-06cc0c672ba0";"uuid:84b087f4-bc42-4cc6-a5ea-06cc0c672ba0"
"M1";"Masculino";"Mam Occidental";"M_038";"1778632145102.m4a";"6dbfbee2-64b1-4a5b-aafb-92f00c92bfc0";"uuid:6dbfbee2-64b1-4a5b-aafb-92f00c92bfc0"
"M1";"Masculino";"Mam Occidental";"M_039";"1778632171103.m4a";"0b6444ea-6f5b-42f8-85bf-f075413902cf";"uuid:0b6444ea-6f5b-42f8-85bf-f075413902cf"
"M1";"Masculino";"Mam Occidental";"M_040";"1778632196864.m4a";"4f76efcb-cbb5-4b6a-b2e9-1326cd1620c2";"uuid:4f76efcb-cbb5-4b6a-b2e9-1326cd1620c2"
"M1";"Masculino";"Mam Occidental";"M_041";"1778632225719.m4a";"5dea5ef2-2fa5-42b7-85f2-7ff33ca629e8";"uuid:5dea5ef2-2fa5-42b7-85f2-7ff33ca629e8"
"M1";"Masculino";"Mam Occidental";"M_042";"1778632258886.m4a";"90ab1e88-4a89-4d66-bfda-e3bfb2c6f9e1";"uuid:90ab1e88-4a89-4d66-bfda-e3bfb2c6f9e1"
"M1";"Masculino";"Mam Occidental";"M_043";"1778632301909.m4a";"e16c85cc-3d86-4ee3-a90e-6297e781d27f";"uuid:e16c85cc-3d86-4ee3-a90e-6297e781d27f"
"M1";"Masculino";"Mam Occidental";"M_044";"1778632326630.m4a";"7557e6f8-170c-4cd1-a514-4d42aab0cd0b";"uuid:7557e6f8-170c-4cd1-a514-4d42aab0cd0b"
"M1";"Masculino";"Mam Occidental";"M_045";"1778632351077.m4a";"099246f2-ffc2-44e3-a7c8-fdd8a691514e";"uuid:099246f2-ffc2-44e3-a7c8-fdd8a691514e"
"M1";"Masculino";"Mam Occidental";"M_046";"1778632376392.m4a";"313709d4-13dc-4f9d-8c34-5c36264aa6be";"uuid:313709d4-13dc-4f9d-8c34-5c36264aa6be"
"M1";"Masculino";"Mam Occidental";"M_047";"1778632400785.m4a";"df4aa872-84ed-4209-a96a-c6204dcc1fc7";"uuid:df4aa872-84ed-4209-a96a-c6204dcc1fc7"
"M1";"Masculino";"Mam Occidental";"M_048";"1778632422176.m4a";"8c94a014-d1f1-458d-90cb-215c4ac69aef";"uuid:8c94a014-d1f1-458d-90cb-215c4ac69aef"
"M1";"Masculino";"Mam Occidental";"M_049";"1778632446341.m4a";"1f3ebb30-fda6-4213-94d6-2fce4f55ea3a";"uuid:1f3ebb30-fda6-4213-94d6-2fce4f55ea3a"
"M1";"Masculino";"Mam Occidental";"M_050";"1778632470945.m4a";"3e8154e4-1621-4b1b-8664-1e239e45f39d";"uuid:3e8154e4-1621-4b1b-8664-1e239e45f39d"
"M2";"Femenino";"Mam Occidental";"M_001";"1778632621289.m4a";"d25a606b-c589-4c6e-afa5-9d151a4af9f0";"uuid:d25a606b-c589-4c6e-afa5-9d151a4af9f0"
"M2";"Femenino";"Mam Occidental";"M_002";"1778632640704.m4a";"015e92c5-9f34-47c4-bfc4-de87a0b6fa10";"uuid:015e92c5-9f34-47c4-bfc4-de87a0b6fa10"
"M2";"Femenino";"Mam Occidental";"M_003";"1778632659206.m4a";"0211cdad-aea4-4446-9e49-67a897a5f4f7";"uuid:0211cdad-aea4-4446-9e49-67a897a5f4f7"
"M2";"Femenino";"Mam Occidental";"M_004";"1778632679418.m4a";"920ad5f6-943c-444c-9284-41bcfcc057ec";"uuid:920ad5f6-943c-444c-9284-41bcfcc057ec"
"M2";"Femenino";"Mam Occidental";"M_005";"1778632698576.m4a";"da54f62d-af17-4979-98f8-3ef95e51108b";"uuid:da54f62d-af17-4979-98f8-3ef95e51108b"
