"codigo_frase","frase_original","transcripcion"
"M_001","B'a'nkyulena, b'a'ntz q'ij.","b'a'nkyulena b'a'ntz q'ij"
"M_002","Chin q'olb'ene, ¿Ja'tzunte?","chin q'olb'ene ja'tzunte"
"M_003","B'a'n, chjonte toj twitz.","b'a'n chjonte toj twitz"
"M_004","Qa'lte, ¿Ti' b'a'n te tib'a?","qa'lte ti' b'a'n te tib'a"
"M_005","Ta'lte, qina.","ta'lte qina"
"M_006","Chinej toj b'e, b'a'n q'ij teya.","chinej toj b'e b'a'n q'ij teya"
"M_007","Chman nim t-tnam, ichin b'a'n.","chman nim ttnam ichin b'a'n"
"M_008","Txin kyq'ij toj ja, b'ixil tu'n.","txin kyq'ij toj ja b'ixil tu'n"
"M_009","Nex txin wa'l toj ja t-chman.","nex txin wa'l toj ja tchman"
"M_010","Xjal nimq'ij toj tnam ky'iwl.","xjal nimq'ij toj tnam ky'iwl"
"M_011","Nim t-witz, nim t-b'e toj tz'aq.","nim twitz nim tb'e toj tz'aq"
"M_012","Q'ij q'aq' toj kyaq'al te' tx'otx'.","q'ij q'aq' toj kyaq'al te' tx'otx'"
"M_013","Ja nim tze'l toj t-txol xjaw.","ja nim tze'l toj ttxol xjaw"
"M_014","Q'aq' q'an kub' toj q'ij.","q'aq' q'an kub' toj q'ij"
"M_015","Ẍe te' nim ja, txolil tu'n.","ẍe te' nim ja txolil tu'n"
"M_016","Ch'ix b'ey toj txaq te'.","ch'ix b'ey toj txaq te'"
"M_017","O'x yol toj xjaw, nim jil.","o'x yol toj xjaw nim jil"
"M_018","Wa'l toj ja, atz'am yol tb'aq.","wa'l toj ja atz'am yol tb'aq"
"M_019","Ko'ya nim b'a'n toj wa'.","ko'ya nim b'a'n toj wa'"
"M_020","Tz'ib'il yol q'ij toj u'j.","tz'ib'il yol q'ij toj u'j"
"M_021","K'a'chil wa' jun ichin nim.","k'a'chil wa' jun ichin nim"
"M_022","B'ixi tze'l, wa'l, rinil toj q'ij.","b'ixi tze'l wa'l rinil toj q'ij"
"M_023","Tnam nim, pujb'il yol Mam tz'ib'il.","tnam nim pujb'il yol mam tz'ib'il"
"M_024","Xnaq'tzb'il toj tnam, b'a'n tu'n.","xnaq'tzb'il toj tnam b'a'n tu'n"
"M_025","Kawb'il Maya yol, nim b'a'n.","kawb'il maya yol nim b'a'n"
"M_026","K'ayil toj k'ayb'il, xjal b'a'n.","k'ayil toj k'ayb'il xjal b'a'n"
"M_027","Nejnel te tnam nimb'il tu'n.","nejnel te tnam nimb'il tu'n"
"M_028","Xnaq'tzen tu'n xjal xnaq'tzan.","xnaq'tzen tu'n xjal xnaq'tzan"
"M_029","Txolb'il b'e toj nim tnam.","txolb'il b'e toj nim tnam"
"M_030","Jun q'ij, kab'e q'ij, oxe q'ij.","jun q'ij kab'e q'ij oxe q'ij"
"M_031","Jwe' xjaw, qaq q'ij, wuq b'e.","jwe' xjaw qaq q'ij wuq b'e"
"M_032","Wajxaq, b'elaj, laj, junk'al.","wajxaq b'elaj laj junk'al"
"M_033","Nchi'j q'ij, neq'chil toj tnam.","nchi'j q'ij neq'chil toj tnam"
"M_034","Xjan q'ij, nim q'ij te b'a'n.","xjan q'ij nim q'ij te b'a'n"
"M_035","B'etil toj nim b'e, rinil kub'.","b'etil toj nim b'e rinil kub'"
"M_036","Tz'ib'il tu'n, u'jil tu'n, b'a'n.","tz'ib'il tu'n u'jil tu'n b'a'n"
"M_037","K'lol, txolb'il, nimil tu'n.","k'lol txolb'il nimil tu'n"
"M_038","Niky'il yol tu'n ichin nim.","niky'il yol tu'n ichin nim"
"M_039","Tze'l b'ixil, b'itzi toj q'ij.","tze'l b'ixil b'itzi toj q'ij"
"M_040","Ky'aq xjal, k'ixb'len yib'aj.","ky'aq xjal k'ixb'len yib'aj"
"M_041","K'oj b'a'n toj t-witz ichin.","k'oj b'a'n toj twitz ichin"
"M_042","T'uj b'a'n tu'n, xob'sil ma'.","t'uj b'a'n tu'n xob'sil ma'"
"M_043","Ky'il ku'j, k'asil b'a'n.","ky'il ku'j k'asil b'a'n"
"M_044","Q'ij Mam, nim q'ij te ky'iwl.","q'ij mam nim q'ij te ky'iwl"
"M_045","Nimb'il Mam toj tnam, b'a'n yol.","nimb'il mam toj tnam b'a'n yol"
"M_046","Txin b'ixil q'ij toj kyaq'al.","txin b'ixil q'ij toj kyaq'al"
"M_047","Q'aq' b'a'n toj ky'iwl te te'.","q'aq' b'a'n toj ky'iwl te te'"
"M_048","Tz'ib'il Mam yol, tx'amsil tu'n.","tz'ib'il mam yol tx'amsil tu'n"
"M_049","Chjonte tu'n yol Mam, b'a'n tib'.","chjonte tu'n yol mam b'a'n tib'"
"M_050","B'a'nkyulena toj yol Mam, chinej.","b'a'nkyulena toj yol mam chinej"
