file_name,transcription,speaker_id,dialect_variant,gender
1778631069345.wav,b'a'nkyulena b'a'ntz q'ij,M1,Mam_Occidental,M
1778631101676.wav,chin q'olb'ene ja'tzunte,M1,Mam_Occidental,M
1778631127113.wav,b'a'n chjonte toj twitz,M1,Mam_Occidental,M
1778631154190.wav,qa'lte ti' b'a'n te tib'a,M1,Mam_Occidental,M
1778631195651.wav,ta'lte qina,M1,Mam_Occidental,M
1778631224290.wav,chinej toj b'e b'a'n q'ij teya,M1,Mam_Occidental,M
1778631260669.wav,chman nim ttnam ichin b'a'n,M1,Mam_Occidental,M
1778631289835.wav,txin kyq'ij toj ja b'ixil tu'n,M1,Mam_Occidental,M
1778631317139.wav,nex txin wa'l toj ja tchman,M1,Mam_Occidental,M
1778631342942.wav,xjal nimq'ij toj tnam ky'iwl,M1,Mam_Occidental,M
1778631373700.wav,nim twitz nim tb'e toj tz'aq,M1,Mam_Occidental,M
1778631449777.wav,q'ij q'aq' toj kyaq'al te' tx'otx',M1,Mam_Occidental,M
1778631478895.wav,ja nim tze'l toj ttxol xjaw,M1,Mam_Occidental,M
1778631501614.wav,q'aq' q'an kub' toj q'ij,M1,Mam_Occidental,M
1778631531114.wav,ẍe te' nim ja txolil tu'n,M1,Mam_Occidental,M
1778631561949.wav,ch'ix b'ey toj txaq te',M1,Mam_Occidental,M
1778631586368.wav,o'x yol toj xjaw nim jil,M1,Mam_Occidental,M
1778631612717.wav,wa'l toj ja atz'am yol tb'aq,M1,Mam_Occidental,M
1778631642047.wav,ko'ya nim b'a'n toj wa',M1,Mam_Occidental,M
1778631666593.wav,tz'ib'il yol q'ij toj u'j,M1,Mam_Occidental,M
1778631692375.wav,k'a'chil wa' jun ichin nim,M1,Mam_Occidental,M
1778631724154.wav,b'ixi tze'l wa'l rinil toj q'ij,M1,Mam_Occidental,M
1778631749371.wav,tnam nim pujb'il yol mam tz'ib'il,M1,Mam_Occidental,M
1778631771948.wav,xnaq'tzb'il toj tnam b'a'n tu'n,M1,Mam_Occidental,M
1778631796457.wav,kawb'il maya yol nim b'a'n,M1,Mam_Occidental,M
1778631824851.wav,k'ayil toj k'ayb'il xjal b'a'n,M1,Mam_Occidental,M
1778631851019.wav,nejnel te tnam nimb'il tu'n,M1,Mam_Occidental,M
1778631875963.wav,xnaq'tzen tu'n xjal xnaq'tzan,M1,Mam_Occidental,M
1778631901265.wav,txolb'il b'e toj nim tnam,M1,Mam_Occidental,M
1778631931805.wav,jun q'ij kab'e q'ij oxe q'ij,M1,Mam_Occidental,M
1778631954153.wav,jwe' xjaw qaq q'ij wuq b'e,M1,Mam_Occidental,M
1778631976529.wav,wajxaq b'elaj laj junk'al,M1,Mam_Occidental,M
1778632001406.wav,nchi'j q'ij neq'chil toj tnam,M1,Mam_Occidental,M
1778632026217.wav,xjan q'ij nim q'ij te b'a'n,M1,Mam_Occidental,M
1778632052685.wav,b'etil toj nim b'e rinil kub',M1,Mam_Occidental,M
1778632078959.wav,tz'ib'il tu'n u'jil tu'n b'a'n,M1,Mam_Occidental,M
1778632122508.wav,k'lol txolb'il nimil tu'n,M1,Mam_Occidental,M
1778632145102.wav,niky'il yol tu'n ichin nim,M1,Mam_Occidental,M
1778632171103.wav,tze'l b'ixil b'itzi toj q'ij,M1,Mam_Occidental,M
1778632196864.wav,ky'aq xjal k'ixb'len yib'aj,M1,Mam_Occidental,M
1778632225719.wav,k'oj b'a'n toj twitz ichin,M1,Mam_Occidental,M
1778632258886.wav,t'uj b'a'n tu'n xob'sil ma',M1,Mam_Occidental,M
1778632301909.wav,ky'il ku'j k'asil b'a'n,M1,Mam_Occidental,M
1778632326630.wav,q'ij mam nim q'ij te ky'iwl,M1,Mam_Occidental,M
1778632351077.wav,nimb'il mam toj tnam b'a'n yol,M1,Mam_Occidental,M
1778632376392.wav,txin b'ixil q'ij toj kyaq'al,M1,Mam_Occidental,M
1778632400785.wav,q'aq' b'a'n toj ky'iwl te te',M1,Mam_Occidental,M
1778632422176.wav,tz'ib'il mam yol tx'amsil tu'n,M1,Mam_Occidental,M
1778632446341.wav,chjonte tu'n yol mam b'a'n tib',M1,Mam_Occidental,M
1778632470945.wav,b'a'nkyulena toj yol mam chinej,M1,Mam_Occidental,M
1778632621289.wav,b'a'nkyulena b'a'ntz q'ij,M2,Mam_Occidental,F
1778632640704.wav,chin q'olb'ene ja'tzunte,M2,Mam_Occidental,F
1778632659206.wav,b'a'n chjonte toj twitz,M2,Mam_Occidental,F
1778632679418.wav,qa'lte ti' b'a'n te tib'a,M2,Mam_Occidental,F
1778632698576.wav,ta'lte qina,M2,Mam_Occidental,F
1778632718836.wav,chinej toj b'e b'a'n q'ij teya,M2,Mam_Occidental,F
1778632742535.wav,chman nim ttnam ichin b'a'n,M2,Mam_Occidental,F
1778632767570.wav,txin kyq'ij toj ja b'ixil tu'n,M2,Mam_Occidental,F
1778632790593.wav,nex txin wa'l toj ja tchman,M2,Mam_Occidental,F
1778632814057.wav,xjal nimq'ij toj tnam ky'iwl,M2,Mam_Occidental,F
1778632836700.wav,nim twitz nim tb'e toj tz'aq,M2,Mam_Occidental,F
1778632858769.wav,q'ij q'aq' toj kyaq'al te' tx'otx',M2,Mam_Occidental,F
1778632879939.wav,ja nim tze'l toj ttxol xjaw,M2,Mam_Occidental,F
1778632901190.wav,q'aq' q'an kub' toj q'ij,M2,Mam_Occidental,F
1778632924445.wav,ẍe te' nim ja txolil tu'n,M2,Mam_Occidental,F
1778632946502.wav,ch'ix b'ey toj txaq te',M2,Mam_Occidental,F
1778632969745.wav,o'x yol toj xjaw nim jil,M2,Mam_Occidental,F
1778632995710.wav,wa'l toj ja atz'am yol tb'aq,M2,Mam_Occidental,F
1778633015210.wav,ko'ya nim b'a'n toj wa',M2,Mam_Occidental,F
1778633036132.wav,tz'ib'il yol q'ij toj u'j,M2,Mam_Occidental,F
1778633055168.wav,k'a'chil wa' jun ichin nim,M2,Mam_Occidental,F
1778633075781.wav,b'ixi tze'l wa'l rinil toj q'ij,M2,Mam_Occidental,F
1778633101261.wav,tnam nim pujb'il yol mam tz'ib'il,M2,Mam_Occidental,F
1778633121478.wav,xnaq'tzb'il toj tnam b'a'n tu'n,M2,Mam_Occidental,F
1778633141244.wav,kawb'il maya yol nim b'a'n,M2,Mam_Occidental,F
1778633162909.wav,k'ayil toj k'ayb'il xjal b'a'n,M2,Mam_Occidental,F
1778633186727.wav,nejnel te tnam nimb'il tu'n,M2,Mam_Occidental,F
1778633206072.wav,xnaq'tzen tu'n xjal xnaq'tzan,M2,Mam_Occidental,F
1778633231122.wav,txolb'il b'e toj nim tnam,M2,Mam_Occidental,F
1778633253161.wav,jun q'ij kab'e q'ij oxe q'ij,M2,Mam_Occidental,F
1778633274403.wav,jwe' xjaw qaq q'ij wuq b'e,M2,Mam_Occidental,F
1778633296594.wav,wajxaq b'elaj laj junk'al,M2,Mam_Occidental,F
1778633315438.wav,nchi'j q'ij neq'chil toj tnam,M2,Mam_Occidental,F
1778633336306.wav,xjan q'ij nim q'ij te b'a'n,M2,Mam_Occidental,F
1778633357495.wav,b'etil toj nim b'e rinil kub',M2,Mam_Occidental,F
1778633378031.wav,tz'ib'il tu'n u'jil tu'n b'a'n,M2,Mam_Occidental,F
1778633400871.wav,k'lol txolb'il nimil tu'n,M2,Mam_Occidental,F
1778633425046.wav,niky'il yol tu'n ichin nim,M2,Mam_Occidental,F
1778633447256.wav,tze'l b'ixil b'itzi toj q'ij,M2,Mam_Occidental,F
1778633472337.wav,ky'aq xjal k'ixb'len yib'aj,M2,Mam_Occidental,F
1778633500166.wav,k'oj b'a'n toj twitz ichin,M2,Mam_Occidental,F
1778633523586.wav,t'uj b'a'n tu'n xob'sil ma',M2,Mam_Occidental,F
1778633545667.wav,ky'il ku'j k'asil b'a'n,M2,Mam_Occidental,F
1778633569172.wav,q'ij mam nim q'ij te ky'iwl,M2,Mam_Occidental,F
1778633591574.wav,nimb'il mam toj tnam b'a'n yol,M2,Mam_Occidental,F
1778633613893.wav,txin b'ixil q'ij toj kyaq'al,M2,Mam_Occidental,F
1778633636026.wav,q'aq' b'a'n toj ky'iwl te te',M2,Mam_Occidental,F
1778633659881.wav,tz'ib'il mam yol tx'amsil tu'n,M2,Mam_Occidental,F
1778633681926.wav,chjonte tu'n yol mam b'a'n tib',M2,Mam_Occidental,F
1778633703635.wav,b'a'nkyulena toj yol mam chinej,M2,Mam_Occidental,F
1778771369944.wav,b'a'nkyulena b'a'ntz q'ij,M3,Mam_Occidental,F
1778771395882.wav,chin q'olb'ene ja'tzunte,M3,Mam_Occidental,F
1778771421961.wav,b'a'n chjonte toj twitz,M3,Mam_Occidental,F
1778771458280.wav,qa'lte ti' b'a'n te tib'a,M3,Mam_Occidental,F
1778771486678.wav,ta'lte qina,M3,Mam_Occidental,F
1778771509072.wav,chinej toj b'e b'a'n q'ij teya,M3,Mam_Occidental,F
1778771537202.wav,chman nim ttnam ichin b'a'n,M3,Mam_Occidental,F
1778771594478.wav,txin kyq'ij toj ja b'ixil tu'n,M3,Mam_Occidental,F
1778771648300.wav,nex txin wa'l toj ja tchman,M3,Mam_Occidental,F
1778771673049.wav,xjal nimq'ij toj tnam ky'iwl,M3,Mam_Occidental,F
1778771731516.wav,nim twitz nim tb'e toj tz'aq,M3,Mam_Occidental,F
1778771811575.wav,q'ij q'aq' toj kyaq'al te' tx'otx',M3,Mam_Occidental,F
1778771869344.wav,ja nim tze'l toj ttxol xjaw,M3,Mam_Occidental,F
1778771897654.wav,q'aq' q'an kub' toj q'ij,M3,Mam_Occidental,F
1778771931727.wav,ẍe te' nim ja txolil tu'n,M3,Mam_Occidental,F
1778772041983.wav,ch'ix b'ey toj txaq te',M3,Mam_Occidental,F
1778772083916.wav,o'x yol toj xjaw nim jil,M3,Mam_Occidental,F
1778772112530.wav,wa'l toj ja atz'am yol tb'aq,M3,Mam_Occidental,F
1778772142824.wav,ko'ya nim b'a'n toj wa',M3,Mam_Occidental,F
1778772173336.wav,tz'ib'il yol q'ij toj u'j,M3,Mam_Occidental,F
1778772197074.wav,k'a'chil wa' jun ichin nim,M3,Mam_Occidental,F
1778772225342.wav,b'ixi tze'l wa'l rinil toj q'ij,M3,Mam_Occidental,F
1778772251879.wav,tnam nim pujb'il yol mam tz'ib'il,M3,Mam_Occidental,F
1778772276402.wav,xnaq'tzb'il toj tnam b'a'n tu'n,M3,Mam_Occidental,F
1778772302423.wav,kawb'il maya yol nim b'a'n,M3,Mam_Occidental,F
1778772333019.wav,k'ayil toj k'ayb'il xjal b'a'n,M3,Mam_Occidental,F
1778772356213.wav,nejnel te tnam nimb'il tu'n,M3,Mam_Occidental,F
1778772386343.wav,xnaq'tzen tu'n xjal xnaq'tzan,M3,Mam_Occidental,F
1778772407536.wav,txolb'il b'e toj nim tnam,M3,Mam_Occidental,F
1778772429448.wav,jun q'ij kab'e q'ij oxe q'ij,M3,Mam_Occidental,F
1778772455018.wav,jwe' xjaw qaq q'ij wuq b'e,M3,Mam_Occidental,F
